service,caller,callee
S_78126003,MS_45285,MS_58238
S_78126003,MS_45285,MS_25446
S_78126003,MS_45285,MS_46847
S_78126003,MS_45285,MS_56631
S_78126003,MS_45285,MS_4972
S_78126003,MS_45285,MS_66384
S_78126003,MS_45285,MS_67025
S_78126003,MS_45285,MS_49751
S_78126003,MS_45285,MS_16477
S_78126003,MS_45285,MS_48071
S_78126003,MS_45285,MS_7805
S_78126003,MS_45285,MS_57945
S_78126003,MS_45285,MS_37637
S_78126003,MS_45285,MS_55974
S_78126003,MS_45285,MS_72983
S_78126003,MS_45285,MS_795
S_78126003,MS_45285,MS_22845
S_78126003,MS_45285,MS_60445
S_78126003,MS_45285,MS_45296
S_78126003,MS_45285,MS_61034
S_78126003,MS_45285,MS_28418
S_78126003,MS_45285,MS_61521
S_78126003,MS_45285,MS_64030
S_78126003,MS_45285,MS_46378
S_78126003,MS_45285,MS_37691
S_78126003,MS_45285,MS_4014
S_78126003,MS_45285,MS_21733
S_78126003,MS_45285,MS_13071
S_78126003,MS_45285,MS_29400
S_78126003,MS_45285,MS_1556
S_78126003,MS_45285,MS_57185
S_78126003,MS_45285,MS_51445
S_78126003,MS_45285,MS_53745
S_78126003,MS_45285,MS_34666
S_78126003,MS_45285,MS_268
S_78126003,MS_45285,MS_26320
S_78126003,MS_45285,MS_23205
S_78126003,MS_45285,MS_55436
S_78126003,MS_45285,MS_55085
S_78126003,MS_45285,MS_32139
S_78126003,MS_45285,MS_2659
S_78126003,MS_45285,MS_5867
S_78126003,MS_45285,MS_47407
S_78126003,MS_45285,MS_16827
S_78126003,MS_45285,MS_14613
S_78126003,MS_45285,MS_38371
S_78126003,MS_45285,MS_56128
S_78126003,MS_45285,MS_60885
S_78126003,MS_45285,MS_21198
S_78126003,MS_45285,MS_44118
S_78126003,MS_45285,MS_65245
S_78126003,MS_45285,MS_31895
S_78126003,MS_45285,MS_20539
S_78126003,MS_45285,MS_48733
S_78126003,MS_45285,MS_654
S_78126003,MS_45285,MS_44884
S_78126003,MS_45285,MS_34236
S_78126003,MS_45285,MS_15193
S_78126003,MS_45285,MS_1106
S_78126003,MS_45285,MS_37327
S_78126003,MS_45285,MS_40113
S_78126003,MS_45285,MS_30655
S_78126003,MS_45285,MS_47855
S_78126003,MS_45285,MS_55648
S_78126003,MS_45285,MS_19131
S_78126003,MS_45285,MS_39175
S_78126003,MS_45285,MS_21537
