request_id,graph_id,slo,latency
593852364,I4_2,200000,82397
765181162,I4_1,50000,22370
287970358,I4_1,50000,22261
230098162,I4_1,50000,23623
196748858,I4_1,50000,21509
815944367,I4_1,50000,21691
541255349,I4_2,200000,87113
169728644,I4_2,200000,86658
336287715,I4_1,50000,25557
227443781,I4_1,50000,25354
460034709,I4_2,200000,95617
255566445,I4_1,50000,29952
489935741,I4_1,50000,31157
932015476,I4_1,50000,30043
412533540,I4_1,50000,28989
128022267,I4_1,50000,27277
150043340,I4_1,50000,28633
648969388,I4_1,50000,28549
193741787,I4_1,50000,30635
83224375,I4_1,50000,28566
170190592,I4_1,50000,25525
103175204,I4_2,200000,110773
538404939,I4_2,200000,94041
842585089,I4_2,200000,70453
483512303,I4_1,50000,27331
644575998,I4_1,50000,27315
441550706,I4_1,50000,22376
145734949,I4_2,200000,73089
587862882,I4_1,50000,27602
546409705,I4_1,50000,27691
554068848,I4_1,50000,29575
916905330,I4_1,50000,31640
585615236,I4_1,50000,31767
983882189,I4_2,200000,76084
944551915,I4_1,50000,35312
315208146,I4_1,50000,34242
926317467,I4_1,50000,35306
464755584,I4_2,200000,84359
165387459,I4_2,200000,85171
249526675,I4_1,50000,34569
377762228,I4_1,50000,30592
289789690,I4_1,50000,30342
366646746,I4_1,50000,31459
750788531,I4_1,50000,30344
368743097,I4_1,50000,28553
187759305,I4_1,50000,29048
221767521,I4_1,50000,30161
753748221,I4_1,50000,29187
883146268,I4_1,50000,30547
564128484,I4_2,200000,100232
481283070,I4_1,50000,32655
562332686,I4_1,50000,29383
840318449,I4_2,200000,97108
774830483,I4_1,50000,29036
375438860,I4_1,50000,29311
204452825,I4_1,50000,26824
525424308,I4_1,50000,27704
406718407,I4_1,50000,26803
476861213,I4_1,50000,28607
306242292,I4_1,50000,25955
1242298,I4_1,50000,25941
770865840,I4_1,50000,24948
493103059,I4_2,200000,102072
973977084,I4_2,200000,101476
530071159,I4_2,200000,92647
975879873,I4_1,50000,26989
425783353,I4_1,50000,29668
688540112,I4_1,50000,28799
312618932,I4_1,50000,28879
644030123,I4_1,50000,25344
973256548,I4_1,50000,24994
159689988,I4_1,50000,24690
130120186,I4_1,50000,22373
603471635,I4_1,50000,25109
59691526,I4_1,50000,24224
123403764,I4_2,200000,114812
487271214,I4_2,200000,105028
781560128,I4_1,50000,24732
561174526,I4_1,50000,26810
331772275,I4_1,50000,27704
832062295,I4_1,50000,28605
